MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 600000
0 Meta TrkEnd
TrkEnd
MTrk
31800 On ch=1 n=63 v=64
31860 On ch=1 n=63 v=0
31860 On ch=1 n=64 v=64
31920 On ch=1 n=64 v=0
31920 On ch=1 n=66 v=64
31980 On ch=1 n=66 v=0
31980 On ch=1 n=59 v=64
32040 On ch=1 n=59 v=0
32040 On ch=1 n=61 v=64
32100 On ch=1 n=61 v=0
32100 On ch=1 n=63 v=64
32160 On ch=1 n=63 v=0
32160 On ch=1 n=64 v=64
32220 On ch=1 n=64 v=0
32220 On ch=1 n=61 v=64
32280 On ch=1 n=61 v=0
32280 On ch=1 n=63 v=64
32340 On ch=1 n=63 v=0
32340 On ch=1 n=58 v=64
32400 On ch=1 n=58 v=0
32400 On ch=1 n=59 v=64
32460 On ch=1 n=59 v=0
32460 On ch=1 n=58 v=64
32520 On ch=1 n=58 v=0
32520 On ch=1 n=59 v=64
32580 On ch=1 n=59 v=0
32580 On ch=1 n=61 v=64
32640 On ch=1 n=61 v=0
32640 On ch=1 n=59 v=64
32760 On ch=1 n=59 v=0
32820 On ch=1 n=61 v=64
32880 On ch=1 n=61 v=0
32880 On ch=1 n=59 v=64
33000 On ch=1 n=59 v=0
33060 On ch=1 n=61 v=64
33120 On ch=1 n=61 v=0
33120 On ch=1 n=59 v=64
33180 On ch=1 n=59 v=0
33240 On ch=1 n=66 v=64
33300 On ch=1 n=66 v=0
33360 On ch=1 n=59 v=64
33420 On ch=1 n=59 v=0
33480 On ch=1 n=71 v=64
33540 On ch=1 n=71 v=0
33540 On ch=1 n=66 v=64
33600 On ch=1 n=66 v=0
33600 On ch=1 n=66 v=64
33840 On ch=1 n=66 v=0
33840 On ch=1 n=59 v=64
33960 On ch=1 n=59 v=0
33960 On ch=1 n=78 v=64
34020 On ch=1 n=78 v=0
34020 On ch=1 n=78 v=64
34080 On ch=1 n=78 v=0
34080 On ch=1 n=78 v=64
34440 On ch=1 n=78 v=0
34560 On ch=1 n=76 v=64
34650 On ch=1 n=76 v=0
34650 On ch=1 n=75 v=64
34680 On ch=1 n=75 v=0
34680 On ch=1 n=76 v=64
34710 On ch=1 n=76 v=0
34710 On ch=1 n=75 v=64
34740 On ch=1 n=75 v=0
34740 On ch=1 n=76 v=64
34770 On ch=1 n=76 v=0
34770 On ch=1 n=75 v=64
34800 On ch=1 n=75 v=0
34800 On ch=1 n=76 v=64
34860 On ch=1 n=76 v=0
34860 On ch=1 n=76 v=64
34920 On ch=1 n=76 v=0
34920 On ch=1 n=75 v=64
34980 On ch=1 n=75 v=0
34980 On ch=1 n=73 v=64
35040 On ch=1 n=73 v=0
35040 On ch=1 n=71 v=64
35070 On ch=1 n=71 v=0
35070 On ch=1 n=75 v=64
35160 On ch=1 n=75 v=0
35160 On ch=1 n=75 v=64
35220 On ch=1 n=75 v=0
35220 On ch=1 n=71 v=64
35280 On ch=1 n=71 v=0
35280 On ch=1 n=71 v=64
35340 On ch=1 n=71 v=0
35340 On ch=1 n=71 v=64
35400 On ch=1 n=71 v=0
35400 On ch=1 n=70 v=64
35460 On ch=1 n=70 v=0
35460 On ch=1 n=70 v=64
35520 On ch=1 n=70 v=0
35520 On ch=1 n=59 v=64
35640 On ch=1 n=59 v=0
35700 On ch=1 n=61 v=64
35760 On ch=1 n=61 v=0
35760 On ch=1 n=59 v=64
35880 On ch=1 n=59 v=0
35940 On ch=1 n=61 v=64
36000 On ch=1 n=61 v=0
36000 On ch=1 n=59 v=64
36060 On ch=1 n=59 v=0
36120 On ch=1 n=66 v=64
36180 On ch=1 n=66 v=0
36240 On ch=1 n=68 v=64
36300 On ch=1 n=68 v=0
36360 On ch=1 n=71 v=64
36420 On ch=1 n=71 v=0
36420 On ch=1 n=66 v=64
36480 On ch=1 n=66 v=0
36480 On ch=1 n=66 v=64
36720 On ch=1 n=66 v=0
36720 On ch=1 n=59 v=64
36840 On ch=1 n=59 v=0
36840 On ch=1 n=78 v=64
36900 On ch=1 n=78 v=0
36900 On ch=1 n=78 v=64
