Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Futurama,2014-05-10,1999–2013,TV-14,"Animation, Comedy, Sci-Fi",N/A,"David X. Cohen, Matt Groening","Billy West, John DiMaggio, Katey Sagal",English,8.4,tt0149460
G.I. Jane,2017-04-05,1997,R,"Action, Drama, War",Ridley Scott,"Danielle Alexandra, David Twohy","Demi Moore, Viggo Mortensen, Anne Bancroft",English,6.0,tt0119173
GLOW,2018-07-09,2017–2019,TV-MA,"Comedy, Drama, Sport",N/A,"Liz Flahive, Carly Mensch","Alison Brie, Marc Maron, Betty Gilpin","English, Spanish, Russian, Central Khmer",8.0,tt5770786
Galaxy Quest,2016-01-11,1999,PG,"Adventure, Comedy, Sci-Fi",Dean Parisot,"David Howard, Robert Gordon","Tim Allen, Sigourney Weaver, Alan Rickman",English,7.3,tt0177789
Gangs of New York,2016-11-27,2002,R,"Crime, Drama",Martin Scorsese,"Jay Cocks, Steven Zaillian, Kenneth Lonergan","Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis","English, Irish Gaelic, Chinese, Latin",7.5,tt0217505
Gangster Squad,2015-03-02,2013,R,"Action, Crime, Drama",Ruben Fleischer,"Will Beall, Paul Lieberman","Sean Penn, Ryan Gosling, Emma Stone",English,6.7,tt1321870
Gentefied,2020-03-29,2020–,TV-MA,Comedy,N/A,"Linda Yvette Chávez, Marvin Lemus","Joaquín Cosio, Joseph Julian Soria, Karrie Martin",N/A,7.4,tt10037034
Get Organized with the Home Edit,2020-10-04,2020–,N/A,Reality-TV,N/A,N/A,"Clea Shearer, Joanna Teplin, Jordana Brewster",English,5.4,tt12923714
Get Smart,2018-07-19,2008,PG-13,"Action, Adventure, Comedy",Peter Segal,"Tom J. Astle, Matt Ember, Mel Brooks","Steve Carell, Anne Hathaway, Alan Arkin","English, Russian, Punjabi, Arabic",6.5,tt0425061
Gilmore Girls,2020-08-20,2000–2007,TV-PG,"Comedy, Drama",N/A,Amy Sherman-Palladino,"Lauren Graham, Alexis Bledel, Keiko Agena",English,8.1,tt0238784
Girl Most Likely,2014-03-22,2012,PG-13,Comedy,"Shari Springer Berman, Robert Pulcini",Michelle Morgan,"Kristen Wiig, Annette Bening, Matt Dillon","English, French, Romanian, Dutch, Mandarin",5.8,tt1698648
Girlboss,2017-05-16,2017,TV-MA,Comedy,N/A,Kay Cannon,"Britt Robertson, Ellie Reed, Johnny Simmons",English,7.0,tt5706996
Girlfriends' Guide to Divorce,2016-02-07,2014–2018,TV-14,"Comedy, Drama",N/A,Marti Noxon,"Lisa Edelstein, Beau Garrett, Necar Zadegan",English,6.9,tt2817246
Glitch,2019-09-11,2015–2019,TV-MA,"Drama, Horror, Sci-Fi",N/A,"Tony Ayres, Louise Fox","Patrick Brammall, Emma Booth, Sean Keenan","English, Italian",7.3,tt4192782
Glory,2020-10-01,1989,R,"Biography, Drama, History",Edward Zwick,"Kevin Jarre, Lincoln Kirstein, Peter Burchard","Matthew Broderick, Denzel Washington, Cary Elwes",English,7.8,tt0097441
Godless,2021-08-15,2017,TV-MA,"Drama, Western",N/A,N/A,"Jack O'Connell, Michelle Dockery, Scoot McNairy",English,8.3,tt5516154
Godzilla,2016-10-02,2014,PG-13,"Action, Adventure, Sci-Fi",Gareth Edwards,"Ishirô Honda, Takeo Murata, Shigeru Kayama","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston","English, Japanese",6.4,tt0831387
Gone Baby Gone,2017-03-18,2007,R,"Crime, Drama, Mystery",Ben Affleck,"Ben Affleck, Aaron Stockard, Dennis Lehane","Morgan Freeman, Ed Harris, Casey Affleck",English,7.6,tt0452623
Good Girls,2019-01-06,2018–2021,TV-14,"Comedy, Crime, Drama",N/A,Jenna Bans,"Christina Hendricks, Retta, Mae Whitman",English,7.8,tt6474378
"Good Night, and Good Luck.",2019-06-30,2005,PG,"Biography, Drama, History",George Clooney,"George Clooney, Grant Heslov","David Strathairn, George Clooney, Patricia Clarkson",English,7.4,tt0433383
Good Will Hunting,2016-02-20,1997,R,"Drama, Romance",Gus Van Sant,"Matt Damon, Ben Affleck","Robin Williams, Matt Damon, Ben Affleck",English,8.3,tt0119217
Goodfellas,2017-03-03,1990,R,"Biography, Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci","English, Italian",8.7,tt0099685
Goon,2019-06-01,2011,R,"Comedy, Drama, Sport",Michael Dowse,"Jay Baruchel, Evan Goldberg, Adam Frattasio","Seann William Scott, Jay Baruchel, Alison Pill","English, French",6.8,tt1456635
Granite Flats,2015-09-26,2013–2015,N/A,Drama,N/A,James Shores,"Jonathan Morgan Heit, Richard Gunn, Charlie Plummer",English,8.1,tt2624370
Green is Gold,2018-07-09,2016,R,"Crime, Drama",Ryon Baxter,"Ryon Baxter, Jake Langhoff","Derek W. Adam, Jimmy Baxter, Ryon Baxter",English,6.0,tt5143704
Green Lantern,2013-08-12,2011,PG-13,"Action, Adventure, Sci-Fi",Martin Campbell,"Greg Berlanti, Michael Green, Marc Guggenheim","Ryan Reynolds, Blake Lively, Peter Sarsgaard",English,5.5,tt1133985
Grey's Anatomy,2020-09-09,2005–,TV-14,"Drama, Romance",N/A,Shonda Rhimes,"Ellen Pompeo, Chandra Wilson, James Pickens Jr.",English,7.5,tt0413573
Groundhog Day,2018-10-03,1993,PG,"Comedy, Fantasy, Romance",Harold Ramis,"Danny Rubin, Harold Ramis","Bill Murray, Andie MacDowell, Chris Elliott","English, French, Italian",8.0,tt0107048
Guardians of the Galaxy Vol. 2,2018-04-15,2017,PG-13,"Action, Adventure, Comedy",James Gunn,"James Gunn, Dan Abnett, Andy Lanning","Chris Pratt, Zoe Saldana, Dave Bautista",English,7.6,tt3896198
Guidance,2015-12-12,2014,Not Rated,Comedy,Pat Mills,Pat Mills,"Pat Mills, Zahra Bentham, Kevin Hanchard",English,6.3,tt3369248
Gypsy,2017-07-08,2017,TV-MA,"Drama, Thriller",N/A,Lisa Rubin,"Naomi Watts, Billy Crudup, Sophie Cookson",English,6.8,tt5503718
Half Nelson,2018-08-16,2006,R,Drama,Ryan Fleck,"Ryan Fleck, Anna Boden","Ryan Gosling, Anthony Mackie, Shareeka Epps",English,7.2,tt0468489
Halt and Catch Fire,2021-07-29,2014–2017,TV-14,Drama,N/A,"Christopher Cantwell, Christopher C. Rogers","Lee Pace, Scoot McNairy, Mackenzie Davis",English,8.4,tt2543312
Hampstead,2021-08-24,2017,PG-13,"Comedy, Drama, Romance",Joel Hopkins,Robert Festinger,"Lesley Manville, Brendan Gleeson, Diane Keaton",English,6.1,tt5153236
Handsome Devil,2018-07-26,2016,TV-MA,"Comedy, Drama, Sport",John Butler,John Butler,"Fionn O'Shea, Ardal O'Hanlon, Amy Huberman","English, Latin",7.1,tt5016946
Hannah Gadsby: Nanette,2018-08-09,2018,TV-MA,"Documentary, Comedy","Jon Olb, Madeleine Parry",Hannah Gadsby,Hannah Gadsby,English,8.3,tt8465676
Hansel & Gretel: Witch Hunters,2013-11-01,2013,R,"Action, Fantasy, Horror",Tommy Wirkola,"Tommy Wirkola, Jacob Grimm, Wilhelm Grimm","Jeremy Renner, Gemma Arterton, Peter Stormare",English,6.1,tt1428538
Happy Gilmore,2018-07-12,1996,PG-13,"Comedy, Sport",Dennis Dugan,"Tim Herlihy, Adam Sandler","Adam Sandler, Christopher McDonald, Julie Bowen",English,7.0,tt0116483
Happy Valley,2019-11-29,2014–,TV-MA,"Crime, Drama",N/A,Sally Wainwright,"Sarah Lancashire, Siobhan Finneran, Rhys Connah",English,8.4,tt3428912
Hard Candy,2017-03-05,2005,R,"Drama, Thriller",David Slade,Brian Nelson,"Patrick Wilson, Elliot Page, Sandra Oh",English,7.1,tt0424136
Hardball,2016-05-18,1997,R,"Action, Drama",George Erschbamer,"John Dunning (story), Jim Cirile (screenplay), George Erschbamer (screenplay), Jeffrey Barmash (screenplay)","Michael Dudikoff, Lisa Howard, Tony Curtis, Steve Bacic",English,4.5,tt0119258
Harry Potter and the Deathly Hallows: Part 2,2013-10-03,2011,PG-13,"Adventure, Drama, Fantasy",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint",English,8.1,tt1201607
Hart's War,2015-03-05,2002,R,"Drama, War",Gregory Hoblit,"John Katzenbach, Billy Ray, Terry George","Bruce Willis, Colin Farrell, Terrence Howard","English, German",6.3,tt0251114
Haters Back Off!,2016-10-15,2016–2017,TV-14,"Comedy, Drama, Family",N/A,"Christopher Ballinger, Colleen Ballinger, Gigi McCreery","Colleen Ballinger, Angela Kinsey, Francesca Reale",English,6.0,tt5467814
Hateship Loveship,2016-03-19,2013,R,"Drama, Romance",Liza Johnson,"Mark Poirier, Alice Munro","Kristen Wiig, Guy Pearce, Hailee Steinfeld",English,6.1,tt2463512
Hector and the Search for Happiness,2015-08-16,2014,R,"Adventure, Comedy, Drama",Peter Chelsom,"Maria von Heland, Peter Chelsom, Tinker Lindsay","Simon Pegg, Rosamund Pike, Tracy Ann Oberman","English, French, German",7.0,tt1626146
Helix,2017-04-25,2014–2015,TV-PG,"Drama, Horror, Mystery",N/A,Cameron Porsandeh,"Billy Campbell, Kyra Zagorsky, Mark Ghanimé",English,6.8,tt2758950
Hell and Back,2017-07-13,2015,R,"Animation, Adventure, Comedy","Tom Gianas, Ross Shuman","Tom Gianas, Zeb Wells, Hugh Sterbakov","Nick Swardson, Mila Kunis, Bob Odenkirk",English,5.4,tt2141773
Hell on Wheels,2020-09-01,2011–2016,TV-14,"Drama, Western",N/A,"Joe Gayton, Tony Gayton","Anson Mount, Colm Meaney, Robin McLeavy",English,8.3,tt1699748
Hell or High Water,2019-01-08,2016,R,"Action, Crime, Drama",David Mackenzie,Taylor Sheridan,"Chris Pine, Ben Foster, Jeff Bridges",English,7.6,tt2582782
"Hello, Privilege. It's Me, Chelsea",2019-10-05,2019,TV-MA,Documentary,Alex Stapleton,N/A,"Chelsea Handler, Melina Abdullah, Jody David Armour, W. Kamau Bell",English,4.4,tt10847138
Henry Poole Is Here,2018-05-29,2008,PG,"Comedy, Drama",Mark Pellington,Albert Torres,"Luke Wilson, Radha Mitchell, George Lopez","English, Spanish",6.4,tt1029120
Her,2018-12-14,2013,R,"Drama, Romance, Sci-Fi",Spike Jonze,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson",English,8.0,tt1798709
High Flying Bird,2019-02-13,2019,TV-MA,"Drama, Sport",Steven Soderbergh,Tarell Alvin McCraney,"André Holland, Melvin Gregg, Eddie Tavares",English,6.2,tt8128188
High Score,2020-08-21,2020,TV-14,"Documentary, History",N/A,N/A,"Charles Martinet, Rebecca Ann Heineman, Nolan Bushnell",English,7.4,tt12759400
Hiroshima,2013-10-24,2005,N/A,"Documentary, Drama, History",Paul Wilmshurst,Paul Wilmshurst,"John Hurt, Shuntaro Hida, George Elsey, Paul Tibbets","English, Japanese",7.8,tt0475296
History 101,2020-05-26,2020–,TV-PG,"Documentary, History",N/A,N/A,"Frankie Corzo, Natalie Silverman",English,6.8,tt11958648
History of Swear Words,2021-01-08,2021–,TV-MA,"Documentary, Comedy",N/A,N/A,"Nikki Glaser, London Hughes, Elvis Mitchell",English,6.4,tt13617060
Hold the Dark,2018-10-06,2018,TV-MA,"Action, Drama, Thriller",Jeremy Saulnier,"Macon Blair, William Giraldi","Jeffrey Wright, Alexander Skarsgård, James Badge Dale",English,5.6,tt5057140
Holidate,2020-11-05,2020,TV-MA,"Comedy, Romance",John Whitesell,Tiffany Paulsen,"Emma Roberts, Luke Bracey, Kristin Chenoweth","English, Mandarin",6.1,tt9866072
Home Game,2020-06-30,2020–,TV-14,"Documentary, Sport",N/A,N/A,"Mark Strong, Guyga, Riccardo Lo Bue",English,7.1,tt12429046
Hoops,2020-08-28,2020,TV-MA,"Animation, Comedy, Sport",N/A,Ben Hoffman,"Jake Johnson, Ron Funches, Cleo King",English,6.1,tt9077562
Hoosiers,2019-05-23,1986,PG,"Drama, Sport",David Anspaugh,Angelo Pizzo,"Gene Hackman, Barbara Hershey, Dennis Hopper",English,7.5,tt0091217
Hope Springs Eternal,2018-11-17,2018,PG,"Comedy, Drama",Jack C. Newell,Stephanie Mickus,"Mia Rose Frampton, Stony Blyden, Juliette Angelo",English,4.8,tt5516404
Horns,2015-10-31,2013,R,"Comedy, Crime, Drama",Alexandre Aja,"Keith Bunin, Joe Hill","Daniel Radcliffe, Juno Temple, Max Minghella",English,6.5,tt1528071
Horrible Bosses,2016-10-11,2011,R,"Comedy, Crime",Seth Gordon,"Michael Markowitz, John Francis Daley, Jonathan Goldstein","Jason Bateman, Charlie Day, Jason Sudeikis",English,6.8,tt1499658
Horrible Bosses 2,2016-11-21,2014,R,"Comedy, Crime",Sean Anders,"Sean Anders, John Morris, Jonathan Goldstein","Jason Bateman, Jason Sudeikis, Charlie Day","English, Spanish",6.3,tt2170439
Horse Girl,2020-04-11,2020,R,"Drama, Mystery, Thriller",Jeff Baena,"Jeff Baena, Alison Brie","Alison Brie, Molly Shannon, Goldenite",English,5.9,tt11388406
Hostiles,2018-08-18,2017,R,"Drama, Western",Scott Cooper,"Scott Cooper, Donald E. Stewart","Scott Shepherd, Rosamund Pike, Ava Cooper","English, Cheyenne, French",7.2,tt5478478
Hot Fuzz,2016-08-07,2007,R,"Action, Comedy, Mystery",Edgar Wright,"Edgar Wright, Simon Pegg","Simon Pegg, Nick Frost, Martin Freeman",English,7.8,tt0425112
Hotel Rwanda,2015-11-09,2004,PG-13,"Biography, Drama, History",Terry George,"Keir Pearson, Terry George","Don Cheadle, Sophie Okonedo, Joaquin Phoenix","English, French, Kinyarwanda",8.1,tt0395169
House of Cards,2017-07-25,2013–2018,TV-MA,Drama,N/A,Beau Willimon,"Kevin Spacey, Michel Gill, Robin Wright",English,8.7,tt1856010
How Do You Know,2020-07-16,2010,PG-13,"Comedy, Drama, Romance",James L. Brooks,James L. Brooks,"Reese Witherspoon, Paul Rudd, Owen Wilson",English,5.4,tt1341188
How I Live Now,2014-09-27,2013,R,"Action, Drama, Romance",Kevin Macdonald,"Meg Rosoff, Jeremy Brock, Penelope Skinner","Saoirse Ronan, Tom Holland, George MacKay",English,6.5,tt1894476
How It Ends,2018-08-06,2018,TV-MA,"Action, Drama, Mystery",David M. Rosenthal,Brooks McLaren,"Theo James, Kat Graham, Nancy Sorel",English,5.0,tt5246700
How to Get Away with Murder,2015-09-24,2014–2020,TV-14,"Crime, Drama, Mystery",N/A,Peter Nowalk,"Viola Davis, Billy Brown, Jack Falahee","English, Spanish",8.1,tt3205802
How to Lose a Guy in 10 Days,2019-01-01,2003,PG-13,"Comedy, Romance",Donald Petrie,"Michele Alexander, Jeannie Long, Kristen Buckley","Kate Hudson, Matthew McConaughey, Adam Goldberg",English,6.4,tt0251127
How to Sell Drugs Online (Fast),2019-06-02,2019–,TV-MA,"Comedy, Crime, Drama",N/A,"Philipp Kässbohrer, Matthias Murmann","Maximilian Mundt, Danilo Kamperidis, Lena Klenke",German,7.9,tt9184994
Hubie Halloween,2020-10-17,2020,PG-13,"Comedy, Mystery",Steven Brill,"Tim Herlihy, Adam Sandler","Adam Sandler, Kevin James, Julie Bowen",English,5.2,tt10682266
Hunt for the Wilderpeople,2020-10-16,2016,PG-13,"Adventure, Comedy, Drama",Taika Waititi,"Taika Waititi, Barry Crump, Te Arepa Kahi","Sam Neill, Julian Dennison, Rima Te Wiata",English,7.9,tt4698684
Hurricane of Fun: The Making of Wet Hot,2015-08-23,2015,Not Rated,Documentary,Amy Rice,N/A,"Elizabeth Banks, Michael Ian Black, Bradley Cooper",English,7.0,tt4902012
Hyperdrive,2019-08-21,2019–,TV-PG,Reality-TV,N/A,N/A,"Stacey-Lee May, Michael Bisping, Lindsay Czarniak",English,8.0,tt8911552
I Am Mother,2021-08-21,2019,TV-14,"Drama, Mystery, Sci-Fi",Grant Sputore,"Michael Lloyd Green, Grant Sputore","Luke Hawker, Rose Byrne, Maddie Lenton",English,6.7,tt6292852
I Am Not Okay with This,2020-03-18,2020,TV-MA,"Comedy, Drama, Fantasy",N/A,"Jonathan Entwistle, Christy Hall","Sophia Lillis, Wyatt Oleff, Sofia Bryant",English,7.5,tt9446688
I Feel Pretty,2018-09-21,2018,PG-13,"Comedy, Romance","Abby Kohn, Marc Silverstein","Abby Kohn, Marc Silverstein","Amy Schumer, Michelle Williams, Emily Ratajkowski",English,5.5,tt6791096
I Know That Voice,2014-09-21,2013,Not Rated,Documentary,Lawrence Shapiro,"Lawrence Shapiro, Tommy Reid, Brandon Sonnier","Charlie Adler, Pamela Adlon, Carlos Alazraqui",N/A,7.5,tt2113683
"I Love You, Beth Cooper",2017-04-05,2009,PG-13,"Comedy, Romance",Chris Columbus,Larry Doyle,"Hayden Panettiere, Paul Rust, Jack Carpenter",English,5.3,tt1032815
"I Love You, Man",2018-07-18,2009,R,"Comedy, Romance",John Hamburg,"John Hamburg, Larry Levin","Paul Rudd, Jason Segel, Rashida Jones",English,7.0,tt1155056
I Think You Should Leave with Tim Robinson,2019-05-02,2019–,TV-MA,Comedy,N/A,"Zach Kanin, Tim Robinson","Tim Robinson, Sam Richardson, Patti Harrison",English,7.8,tt10050772
I'm Thinking of Ending Things,2020-09-05,2020,R,"Drama, Thriller",Charlie Kaufman,"Charlie Kaufman, Iain Reid","Jesse Plemons, Jessie Buckley, Toni Collette","English, Spanish",6.6,tt7939766
IO,2020-12-12,2019,TV-14,"Adventure, Drama, Sci-Fi",Jonathan Helpert,"Clay Jeter, Charles Spano, Will Basanta","Margaret Qualley, Anthony Mackie, Danny Huston",English,4.7,tt3256226
Iliza Shlesinger: Confirmed Kills,2018-07-30,2016,TV-MA,Comedy,Bobcat Goldthwait,Iliza Shlesinger,Iliza Shlesinger,English,6.6,tt6081882
In the Heat of the Night,2017-06-25,1967,Approved,"Crime, Drama, Mystery",Norman Jewison,"Stirling Silliphant, John Ball","Sidney Poitier, Rod Steiger, Warren Oates",English,7.9,tt0061811
Inception,2020-01-31,2010,PG-13,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","English, Japanese, French",8.8,tt1375666
Indian Matchmaking,2020-07-29,2020–,TV-14,"Reality-TV, Romance",N/A,N/A,"Sima Taparia, Vyasar M. Ganesan, Akshay Jakhete",Hindi,6.2,tt12580168
Indiana Jones and the Kingdom of the Crystal Skull,2017-06-09,2008,PG-13,"Action, Adventure",Steven Spielberg,"David Koepp, George Lucas, Jeff Nathanson","Harrison Ford, Cate Blanchett, Shia LaBeouf","English, German, Russian",6.1,tt0367882
Indie Game: The Movie,2013-10-14,2012,Not Rated,"Documentary, Drama","Lisanne Pajot, James Swirsky",N/A,"Jonathan Blow, Brandon Boyer, Renaud Bédard","English, French",7.6,tt1942884
Inequality for All,2014-09-26,2013,PG,Documentary,Jacob Kornbluth,N/A,"Robert Reich, Dolly Parton, Lily Tomlin",English,8.0,tt2215151
Infinitely Polar Bear,2017-07-02,2014,R,"Comedy, Drama, Romance",Maya Forbes,Maya Forbes,"Mark Ruffalo, Zoe Saldana, Imogene Wolodarsky",English,7.0,tt1969062
Inside,2014-04-24,2016,Not Rated,"Horror, Thriller",Miguel Ángel Vivas,"Jaume Balagueró, Manu Díaz, Miguel Ángel Vivas","Rachel Nichols, Laura Harring, Ben Temple",English,4.7,tt5170810
Interior Design Masters,2021-01-03,2019–,N/A,Game-Show,N/A,N/A,"Michelle Ogundehin, Fearne Cotton, Matthew Williamson",English,6.5,tt8367694
Into the Forest,2018-11-13,2015,R,"Drama, Thriller",Patricia Rozema,"Patricia Rozema, Jean Hegland","Elliot Page, Evan Rachel Wood, Max Minghella",English,5.8,tt2625810
Into the White,2013-12-20,2012,R,"Action, Biography, Drama",Petter Næss,"Ole Meldgaard, Dave Mango, Petter Næss","Florian Lukas, David Kross, Lachlan Nieboer","English, Norwegian, German",7.2,tt1876277
Invictus,2019-11-25,2009,PG-13,"Biography, Drama, History",Clint Eastwood,"Anthony Peckham, John Carlin","Morgan Freeman, Matt Damon, Tony Kgoroge","English, Afrikaans, Maori, Zulu, Xhosa, Sotho",7.3,tt1057500
Iron Man 3: The Prologue,2017-03-05,2013,N/A,"Short, Action",Dan Mintz,N/A,"Tomer Oz, Shaun Toub, Xueqi Wang","English, Mandarin",6.4,tt3107386
It Comes at Night,2019-12-30,2017,R,"Horror, Mystery, Sci-Fi",Trey Edward Shults,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo",English,6.2,tt4695012
It's Always Sunny in Philadelphia,2015-12-07,2005–,TV-MA,Comedy,N/A,"Glenn Howerton, Rob McElhenney","Charlie Day, Glenn Howerton, Rob McElhenney",English,8.8,tt0472954
Iverson,2016-05-13,2014,Not Rated,"Documentary, Biography, Sport",Zatella Beatty,N/A,"Allen Iverson, Tom Brokaw, Larry Brown",English,7.1,tt2088745
Jack Whitehall: Travels with My Father,2018-10-06,2017–,TV-MA,"Documentary, Comedy",N/A,N/A,"Jack Whitehall, Michael Whitehall, Hilary Whitehall",English,7.6,tt7453996
Jailbirds,2019-05-20,2019–,N/A,Reality-TV,N/A,N/A,"Gaylon Beason, Taylor Coatney, Andrea Gunderson",N/A,7.1,tt10243628
Jane Eyre,2014-11-26,2011,PG-13,"Drama, Romance",Cary Joji Fukunaga,"Charlotte Brontë, Moira Buffini","Mia Wasikowska, Michael Fassbender, Jamie Bell","English, French",7.3,tt1229822
Jane Got a Gun,2016-08-30,2015,R,"Action, Drama, Western",Gavin O'Connor,"Brian Duffield, Anthony Tambakis, Joel Edgerton","Natalie Portman, Joel Edgerton, Ewan McGregor",English,5.9,tt2140037
Jay Mohr: Funny for a Girl,2014-12-26,2012,TV-MA,"Documentary, Comedy",Scott L. Montoya,N/A,Jay Mohr,English,6.6,tt2384296
Jeopardy!,2020-03-19,1984–,TV-G,Game-Show,N/A,Merv Griffin,"Alex Trebek, Johnny Gilbert, Jimmy McGuire",English,8.2,tt0159881
Jerry Maguire,2017-06-09,1996,R,"Comedy, Drama, Romance",Cameron Crowe,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger","English, American Sign ",7.3,tt0116695
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017-11-23,2017,TV-MA,Documentary,Chris Smith,N/A,"Jim Carrey, Danny DeVito, Milos Forman","English, East-Greenlandic",7.7,tt7214762
Jim Jefferies: BARE,2014-09-02,2014,TV-MA,Comedy,Shannon Hartman,Jim Jefferies,Jim Jefferies,English,8.1,tt3958494
Jimmy Carr: Funny Business,2019-03-18,2016,Not Rated,Comedy,Sam Wrench,Jimmy Carr (written with),Jimmy Carr,English,7.2,tt5222724
Joe,2017-06-24,2013,R,"Crime, Drama",David Gordon Green,"Gary Hawkins, Larry Brown","Nicolas Cage, Tye Sheridan, Gary Poulter",English,6.9,tt2382396
John Carter,2019-05-31,2012,PG-13,"Action, Adventure, Sci-Fi",Andrew Stanton,"Andrew Stanton, Mark Andrews, Michael Chabon","Taylor Kitsch, Lynn Collins, Willem Dafoe",English,6.6,tt0401729
John Mulaney: The Comeback Kid,2020-01-31,2015,TV-MA,Comedy,Rhys Thomas,John Mulaney,"Petunia, John Mulaney, Amanda Walsh",English,8.0,tt5069564
Julie,2017-04-14,1956,Approved,"Crime, Drama, Film-Noir",Andrew L. Stone,Andrew L. Stone,"Doris Day, Louis Jourdan, Barry Sullivan",English,6.1,tt0049388
Just Friends,2013-08-11,2005,PG-13,"Comedy, Romance",Roger Kumble,Adam 'Tex' Davis,"Ryan Reynolds, Amy Smart, Anna Faris",English,6.2,tt0433400
Ken Burns Presents: The Gene,2019-04-29,2020–,N/A,Documentary,N/A,N/A,"David Costabile, Edward Wild",English,8.3,tt12104262
Kings of Pastry,2014-04-24,2009,Not Rated,"Documentary, Drama, Family","Chris Hegedus, D.A. Pennebaker",N/A,"Jacquy Pfeiffer, Regis Lazard, Philippe Rigollot","English, French",6.9,tt1558972
Kingsglaive: Final Fantasy XV,2021-04-03,2016,PG-13,"Animation, Action, Adventure",Takeshi Nozue,"Takashi Hasegawa, Kazushige Nojima, Saori Itamuro","Aaron Paul, Lena Headey, Sean Bean","Japanese, English, Chinese",6.8,tt5595168
Kiss the Girls,2020-03-15,1997,R,"Crime, Drama, Mystery",Gary Fleder,"James Patterson, David Klass","Morgan Freeman, Ashley Judd, Cary Elwes","English, Mandarin",6.6,tt0119468
Knuckleball!,2013-10-18,2012,Not Rated,"Documentary, Sport","Ricki Stern, Anne Sundberg",N/A,"Tim Wakefield, Dave Lennon, Jim Bouton",English,7.1,tt2343601
Korengal,2016-03-03,2014,R,"Documentary, Biography, History",Sebastian Junger,N/A,"LaMonta Caldwell, Miguel Cortez, Stephen Gillespie",English,6.8,tt3578504
Kung Fury,2016-04-27,2015,Not Rated,"Short, Action, Comedy",David Sandberg,David Sandberg,"David Sandberg, Jorma Taccone, Steven Chew","English, Swedish, German",8.0,tt3472226
Kurt Seyit ve Sura,2017-04-07,2014,N/A,"Drama, History, Romance",N/A,N/A,"Kivanç Tatlitug, Farah Zeynep Abdullah, Caglar Ertugrul",Turkish,7.2,tt3467380
Lady Bird,2020-06-10,2017,R,"Comedy, Drama",Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts","English, Spanish",7.4,tt4925292
Lady in the Water,2019-07-28,2006,PG-13,"Drama, Fantasy, Mystery",M. Night Shyamalan,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright",English,5.5,tt0452637
Laggies,2018-07-19,2014,R,"Comedy, Drama, Romance",Lynn Shelton,Andrea Seigel,"Keira Knightley, Chloë Grace Moretz, Sam Rockwell",English,6.4,tt2034031
Larry Crowne,2013-12-28,2011,PG-13,"Comedy, Drama, Romance",Tom Hanks,"Tom Hanks, Nia Vardalos","Tom Hanks, Julia Roberts, Sarah Mahoney",English,6.1,tt1583420
Last Chance U,2021-05-16,2016–2020,TV-MA,"Documentary, Sport",N/A,N/A,"Ron Ollie, John III Franklin, Buddy Stephens",English,8.4,tt5863126
Last Tango in Halifax,2015-08-29,2012–2020,TV-14,"Comedy, Drama, Romance",N/A,Sally Wainwright,"Anne Reid, Derek Jacobi, Sarah Lancashire",English,8.3,tt2216156
Lawless,2014-10-31,2012,R,"Crime, Drama",John Hillcoat,"Nick Cave, Matt Bondurant","Tom Hardy, Shia LaBeouf, Guy Pearce",English,7.3,tt1212450
Leap Year,2014-11-08,2010,PG,"Comedy, Romance",Anand Tucker,"Deborah Kaplan, Harry Elfont","Amy Adams, Matthew Goode, Adam Scott","English, Ukrainian",6.5,tt1216492
Legally Blonde,2019-03-09,2001,PG-13,"Comedy, Romance",Robert Luketic,"Amanda Brown, Karen McCullah, Kirsten Smith","Reese Witherspoon, Luke Wilson, Selma Blair",English,6.3,tt0250494
Letters from Iwo Jima,2017-02-19,2006,R,"Action, Adventure, Drama",Clint Eastwood,"Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara","Japanese, English",7.9,tt0498380
Life 2.0,2013-09-08,2010,Not Rated,Documentary,Jason Spingarn-Koff,N/A,Teasa Copprue,English,6.2,tt1518809
Life After Beth,2019-07-20,2014,R,"Comedy, Fantasy, Horror",Jeff Baena,Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly",English,5.7,tt2581244
Life of Pi,2013-08-16,2012,PG,"Adventure, Drama, Fantasy",Ang Lee,"Yann Martel, David Magee","Suraj Sharma, Irrfan Khan, Adil Hussain","English, Hindi, Japanese, French",7.9,tt0454876
