Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Dracula Untold,2021-08-17,2014,PG-13,"Action, Drama, Fantasy",Gary Shore,"Matt Sazama, Burk Sharpless, Bram Stoker","Luke Evans, Dominic Cooper, Sarah Gadon","English, Turkish",6.3,tt0829150
Up in the Air,2020-02-05,2009,R,"Comedy, Drama, Romance",Jason Reitman,"Walter Kirn, Jason Reitman, Sheldon Turner","George Clooney, Vera Farmiga, Anna Kendrick",English,7.4,tt1193138
Upstream Color,2014-03-15,2013,Not Rated,"Drama, Sci-Fi",Shane Carruth,Shane Carruth,"Amy Seimetz, Frank Mosley, Shane Carruth",English,6.7,tt2084989
V for Vendetta,2020-06-07,2005,R,"Action, Drama, Sci-Fi",James McTeigue,"Lilly Wachowski, Lana Wachowski, David Lloyd","Hugo Weaving, Natalie Portman, Rupert Graves",English,8.1,tt0434409
VGHS: The Movie,2013-08-16,2012,N/A,"Action, Comedy, Sport",Matthew Arnold,N/A,"Josh Blaylock, Johanna Braddy, Rocky Collins, Joel Kelley Dauten",English,8.1,tt6999062
Valley Uprising,2019-03-21,2014,Not Rated,Documentary,"Peter Mortimer, Nick Rosen, Josh Lowell","Peter Mortimer, Nick Rosen","Peter Sarsgaard, Alex Honnold, Yvon Chouinard",N/A,8.1,tt3784160
Varsity Blues,2014-02-23,1999,R,"Comedy, Drama, Romance",Brian Robbins,W. Peter Iliff,"James Van Der Beek, Jon Voight, Paul Walker",English,6.5,tt0139699
View from the Top,2015-03-06,2003,PG-13,"Comedy, Romance",Bruno Barreto,Eric Wald,"Gwyneth Paltrow, Christina Applegate, Kelly Preston",English,5.3,tt0264150
Virunga,2015-02-18,2014,Not Rated,"Documentary, War",Orlando von Einsiedel,Orlando von Einsiedel,"André Bauma, Emmanuel de Merode, Mélanie Gouby","English, French, Swahili",8.2,tt3455224
Visions,2016-02-06,2015,R,"Drama, Horror, Mystery",Kevin Greutert,"Lucas Sussman, L.D. Goffigan","Isla Fisher, Anson Mount, Gillian Jacobs","English, Spanish",5.4,tt2954474
W/ Bob and David,2015-11-19,2015,TV-MA,Comedy,N/A,"David Cross, Bob Odenkirk","David Cross, Bob Odenkirk, John Ennis",English,7.4,tt4574708
WWII from Space,2015-07-30,2012,N/A,"Documentary, History, War",Simon George,George Simon,"Corey Johnson, Kevin Farrell, Geoffrey Wawro, Conrad Crane",English,7.3,tt3351386
Waco,2020-04-22,2018,TV-14,"Crime, Drama, History",N/A,"Drew Dowdle, John Erick Dowdle","Michael Shannon, Taylor Kitsch, Andrea Riseborough",English,7.9,tt6040674
